experiment,processes,size,steps,ants,elapsed_seconds,compute_seconds,communication_seconds,io_seconds
migration,4,1000,100000,1,0.544389,0.0668238,0.463003,0.000751794
migration,4,1000,100000,10,0.599604,0.208296,0.449594,0.000497922
migration,4,1000,100000,100,2.09782,1.45281,1.00527,0.000529123
migration,4,1000,100000,1000,16.3191,12.2382,3.46286,0.000598003
